domain_name,registrar,registrar_url,reseller,whois_server,referral_url,updated_date,creation_date,expiration_date,name_servers,status,emails,dnssec,name,org,address,city,state,registrant_postal_code,country,Domain,registrant_name,registrant_id,owner_c,admin_c,tech_c,billing_c,name_server,nsstat,nslastaa,saci,nic_hdl_br,person,email
YOUTUBE.COM,"MarkMonitor, Inc.",http://www.markmonitor.com,,whois.markmonitor.com,,2024-01-14 09:59:57; 2024-01-14 09:59:58+00:00,2005-02-15 05:13:12; 2005-02-15 05:13:12+00:00,2025-02-15 05:13:12; 2025-02-15 00:00:00+00:00,NS1.GOOGLE.COM; NS2.GOOGLE.COM; NS3.GOOGLE.COM; NS4.GOOGLE.COM,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; clientTransferProhibited https://icann.org/epp#clientTransferProhibited; clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited; serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited; serverTransferProhibited https://icann.org/epp#serverTransferProhibited; serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited; clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited); clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited); clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited); serverUpdateProhibited (https://www.icann.org/epp#serverUpdateProhibited); serverTransferProhibited (https://www.icann.org/epp#serverTransferProhibited); serverDeleteProhibited (https://www.icann.org/epp#serverDeleteProhibited),abusecomplaints@markmonitor.com; whoisrequest@markmonitor.com,unsigned,,Google LLC,,,CA,,US,https://www.youtube.com/,,,,,,,,,,,,,
GOOGLE.COM,"MarkMonitor, Inc.",http://www.markmonitor.com,,whois.markmonitor.com,,2019-09-09 15:39:04; 2024-08-02 02:17:33+00:00,1997-09-15 04:00:00; 1997-09-15 07:00:00+00:00,2028-09-14 04:00:00; 2028-09-13 07:00:00+00:00,NS1.GOOGLE.COM; NS2.GOOGLE.COM; NS3.GOOGLE.COM; NS4.GOOGLE.COM,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; clientTransferProhibited https://icann.org/epp#clientTransferProhibited; clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited; serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited; serverTransferProhibited https://icann.org/epp#serverTransferProhibited; serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited; clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited); clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited); clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited); serverUpdateProhibited (https://www.icann.org/epp#serverUpdateProhibited); serverTransferProhibited (https://www.icann.org/epp#serverTransferProhibited); serverDeleteProhibited (https://www.icann.org/epp#serverDeleteProhibited),abusecomplaints@markmonitor.com; whoisrequest@markmonitor.com,unsigned,,Google LLC,,,CA,,US,https://www.google.com/maps/,,,,,,,,,,,,,
LIVE.COM,"CSC Corporate Domains, Inc.",http://cscdbs.com; www.cscprotectsbrands.com,,whois.corporatedomains.com,,2024-07-03 01:00:02; 2024-07-02 16:55:01,1994-12-28 05:00:00; 1994-12-28 00:00:00,2024-12-27 05:00:00,NS1-37.AZURE-DNS.COM; NS2-37.AZURE-DNS.NET; NS3-37.AZURE-DNS.ORG; NS4-37.AZURE-DNS.INFO,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; clientTransferProhibited https://icann.org/epp#clientTransferProhibited; serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited; serverTransferProhibited https://icann.org/epp#serverTransferProhibited; serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited; clientDeleteProhibited http://www.icann.org/epp#clientDeleteProhibited; clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited; serverDeleteProhibited http://www.icann.org/epp#serverDeleteProhibited; serverTransferProhibited http://www.icann.org/epp#serverTransferProhibited,domainabuse@cscglobal.com; domains@microsoft.com; msnhst@microsoft.com,unsigned,Domain Administrator,Microsoft Corporation,One Microsoft Way,Redmond,WA,98052,US,https://outlook.live.com/mail/0/,,,,,,,,,,,,,
telegram.org,"GoDaddy.com, LLC",http://www.whois.godaddy.com,,http://whois.godaddy.com,,2024-06-30 19:24:40,2003-12-15 14:48:05,2031-12-15 14:48:05,ns-cloud-b1.googledomains.com; ns-cloud-b4.googledomains.com; ns-cloud-b2.googledomains.com; ns-cloud-b3.googledomains.com,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; clientRenewProhibited https://icann.org/epp#clientRenewProhibited; clientTransferProhibited https://icann.org/epp#clientTransferProhibited; clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited,abuse@godaddy.com,unsigned,REDACTED FOR PRIVACY,"Domains By Proxy, LLC",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,Arizona,REDACTED FOR PRIVACY,US,https://web.telegram.org/,,,,,,,,,,,,,
LINKEDIN.COM,"MarkMonitor, Inc.",http://www.markmonitor.com,,whois.markmonitor.com,,2024-10-01 11:01:31; 2024-10-01 11:01:31+00:00,2002-11-02 15:38:11; 2002-11-02 15:38:11+00:00,2025-11-02 15:38:11; 2025-11-02 00:00:00+00:00,DNS1.P09.NSONE.NET; DNS2.P09.NSONE.NET; DNS3.P09.NSONE.NET; DNS4.P09.NSONE.NET; NS1-42.AZURE-DNS.COM; NS2-42.AZURE-DNS.NET; NS3-42.AZURE-DNS.ORG; NS4-42.AZURE-DNS.INFO,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; clientTransferProhibited https://icann.org/epp#clientTransferProhibited; clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited; serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited; serverTransferProhibited https://icann.org/epp#serverTransferProhibited; serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited; clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited); clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited); clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited); serverUpdateProhibited (https://www.icann.org/epp#serverUpdateProhibited); serverTransferProhibited (https://www.icann.org/epp#serverTransferProhibited); serverDeleteProhibited (https://www.icann.org/epp#serverDeleteProhibited),abusecomplaints@markmonitor.com; hostmaster@linkedin.com; whoisrequest@markmonitor.com,unsigned,Domain Administrator,LinkedIn Corporation,1000 W. Maude Ave,Sunnyvale,CA,94085,US,https://www.linkedin.com/feed/,,,,,,,,,,,,,
sp.gov.br,,,,,,2024-08-22 00:00:00; 2024-08-08 00:00:00; 2020-04-29 00:00:00,1995-07-06 00:00:00; 2024-08-08 00:00:00; 2008-10-14 00:00:00,,,published,,,,,,,,,BR,https://www.delegaciaeletronica.policiacivil.sp.gov.br/,Cia Proc. de Dados do Estado de S Paulo - Prodesp,62.577.929/0001-35,COGIN3,,GEIPR,,dns1e.sp.gov.br 200.144.6.154; dns3e.sp.gov.br 200.144.6.92; dns2e.sp.gov.br 200.144.6.25; dns4e.sp.gov.br 4.228.103.202; dns5e.sp.gov.br 4.228.120.16,20241121 AA,20241121,,COGIN3; GEIPR,Coordenadoria de Gest�o INTRAGOV; Gerencia Internet PRODESP,adm@intragov.sp.gov.br; csirt@sp.gov.br
GOOGLE.COM,"MarkMonitor, Inc.",http://www.markmonitor.com,,whois.markmonitor.com,,2019-09-09 15:39:04; 2024-08-02 02:17:33+00:00,1997-09-15 04:00:00; 1997-09-15 07:00:00+00:00,2028-09-14 04:00:00; 2028-09-13 07:00:00+00:00,NS1.GOOGLE.COM; NS2.GOOGLE.COM; NS3.GOOGLE.COM; NS4.GOOGLE.COM,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; clientTransferProhibited https://icann.org/epp#clientTransferProhibited; clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited; serverDeleteProhibited https://icann.org/epp#serverDeleteProhibited; serverTransferProhibited https://icann.org/epp#serverTransferProhibited; serverUpdateProhibited https://icann.org/epp#serverUpdateProhibited; clientUpdateProhibited (https://www.icann.org/epp#clientUpdateProhibited); clientTransferProhibited (https://www.icann.org/epp#clientTransferProhibited); clientDeleteProhibited (https://www.icann.org/epp#clientDeleteProhibited); serverUpdateProhibited (https://www.icann.org/epp#serverUpdateProhibited); serverTransferProhibited (https://www.icann.org/epp#serverTransferProhibited); serverDeleteProhibited (https://www.icann.org/epp#serverDeleteProhibited),abusecomplaints@markmonitor.com; whoisrequest@markmonitor.com,unsigned,,Google LLC,,,CA,,US,https://www.google.com/,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,https://bancotpz.com.br/extrato,,,,,,,,,,,,,
DNOFD.COM,"GoDaddy.com, LLC",http://www.godaddy.com; https://www.godaddy.com,,whois.godaddy.com,,2022-10-04 05:37:53; 2019-08-13 09:48:16,2017-07-13 11:55:20; 2017-07-13 06:55:20,2026-07-13 11:55:20; 2026-07-13 06:55:20,NS-1129.AWSDNS-13.ORG; NS-1834.AWSDNS-37.CO.UK; NS-686.AWSDNS-21.NET; NS-96.AWSDNS-12.COM,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited; clientRenewProhibited https://icann.org/epp#clientRenewProhibited; clientTransferProhibited https://icann.org/epp#clientTransferProhibited; clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited,abuse@godaddy.com,unsigned,Registration Private,"Domains By Proxy, LLC","DomainsByProxy.com; 100 S. Mill Ave, Suite 1600",Tempe,Arizona,85281,US,http://bancotpzatualiza.apps.dnofd.com/,,,,,,,,,,,,,
infomoney.com.br,,,,,,2024-01-23 00:00:00; 2023-10-11 00:00:00,2000-02-14 00:00:00; 2019-02-04 00:00:00,2027-02-14 00:00:00,,published,,,,,,,,,BR,https://www.infomoney.com.br/,Infostocks Informa��es e Sistemas Ltda.,03.082.929/0001-03,IISLT15,,IISLT15,,ns-816.awsdns-38.net; ns-44.awsdns-05.com; ns-1186.awsdns-20.org; ns-1994.awsdns-57.co.uk,20241120 AA,20241120,,IISLT15,INFOSTOCKS INFORMA��ES E SISTEMAS LTDA,tecnologia@xpi.com.br
